wavenumber,spectra
2626.615,0.008502715
2624.6865,0.008529748
2622.758,0.008505824
2620.8293,0.008409873
2618.901,0.008431359
2616.9724,0.008498087
2615.044,0.008397711
2613.1155,0.00833593
2611.187,0.008346706
2609.2585,0.008297698
2607.33,0.0083116125
2605.4014,0.008317759
2603.473,0.008284324
2601.5444,0.008284121
2599.616,0.008256024
2597.6875,0.008208546
2595.759,0.00823171
2593.8306,0.008306986
2591.902,0.008273415
2589.9734,0.008151957
2588.045,0.008126704
2586.1165,0.008167893
2584.188,0.008200881
2582.2595,0.008182446
2580.331,0.008164652
2578.4026,0.008140815
2576.474,0.008142976
2574.5454,0.008084371
2572.617,0.008060607
2570.6885,0.008078598
2568.76,0.008100743
2566.8315,0.008142841
2564.903,0.008139128
2562.9746,0.00803455
2561.046,0.007952302
2559.1174,0.007972853
2557.189,0.008063949
2555.2605,0.00808427
2553.332,0.008058176
2551.4036,0.008010551
2549.475,0.008013994
2547.5466,0.008024592
2545.618,0.008042582
2543.6895,0.008079949
2541.761,0.007996073
2539.8325,0.007937082
2537.904,0.007981695
2535.9756,0.00805946
2534.047,0.008061519
2532.1187,0.007975655
2530.19,0.008025706
2528.2615,0.008072894
2526.333,0.008061991
2524.4045,0.007972516
2522.476,0.00789443
2520.5476,0.0078749955
2518.6191,0.007885523
2516.6904,0.007920581
2514.762,0.007904789
2512.8335,0.007843685
2510.905,0.007844731
2508.9766,0.00787864
2507.048,0.007914203
2505.1196,0.007872398
2503.1912,0.007839233
2501.2625,0.007835285
2499.334,0.007834037
2497.4055,0.007743968
2495.477,0.0076931394
2493.5486,0.007694927
2491.62,0.0077205934
2489.6917,0.0077908216
2487.7632,0.0077846823
2485.8345,0.0077463966
2483.906,0.0077682543
2481.9775,0.0077064955
2480.049,0.0076789074
2478.1206,0.007765252
2476.1921,0.0077174907
2474.2637,0.0076561435
2472.335,0.00771658
2470.4065,0.0076866304
2468.478,0.0076892274
2466.5496,0.0077155344
2464.621,0.007695298
2462.6926,0.0076798177
2460.7642,0.007664507
2458.8357,0.0076477462
2456.907,0.0076917903
2454.9785,0.0076849107
2453.05,0.0076894634
2451.1216,0.0076631242
2449.193,0.0076136203
2447.2646,0.007659752
2445.3362,0.007670004
2443.4077,0.0076434975
2441.479,0.007661067
2439.5505,0.007659887
2437.622,0.0076764454
2435.6936,0.0076524676
2433.7651,0.0076232646
2431.8367,0.0076271086
2429.9082,0.0076290644
2427.9797,0.0076086973
2426.051,0.0075864093
2424.1226,0.0076171947
2422.194,0.007691487
2420.2656,0.0076948595
2418.3372,0.007604651
2416.4087,0.007581453
2414.4802,0.0076257936
2412.5515,0.007693578
2410.623,0.007702684
2408.6946,0.0076504108
2406.766,0.0076529062
2404.8376,0.007636146
2402.9092,0.007613182
2400.9807,0.0075911633
2399.0522,0.007609338
2397.1235,0.0076231295
2395.195,0.007661809
2393.2666,0.00763247
2391.3381,0.0075641223
2389.4097,0.007631897
2387.4812,0.007870171
2385.5527,0.008350252
2383.6243,0.009212732
2381.6956,0.010371961
2379.767,0.0118662715
2377.8386,0.013492086
2375.9102,0.015468841
2373.9817,0.017620508
2372.0532,0.019884542
2370.1248,0.022520505
2368.196,0.025279736
2366.2676,0.027510516
2364.339,0.02942858
2362.4106,0.030395756
2360.4822,0.031253092
2358.5537,0.030972926
2356.6252,0.029284187
2354.6968,0.02598865
2352.768,0.02263055
2350.8396,0.019345608
2348.9111,0.018305268
2346.9827,0.020270912
2345.0542,0.023327911
2343.1257,0.024774058
2341.1973,0.024987355
2339.2688,0.02446477
2337.34,0.024067612
2335.4116,0.02322716
2333.4832,0.022697855
2331.5547,0.022363808
2329.6262,0.0220525
2327.6978,0.021295933
2325.7693,0.020348893
2323.8406,0.019325966
2321.912,0.018164456
2319.9836,0.016988575
2318.0552,0.015776562
2316.1267,0.014645159
2314.1982,0.013997178
2312.2698,0.013662778
2310.3413,0.013192127
2308.4126,0.012501974
2306.4841,0.011741217
2304.5557,0.011081643
2302.6272,0.010683493
2300.6987,0.010300194
2298.7703,0.009952694
2296.8418,0.009736587
2294.9133,0.009469179
2292.9846,0.0091068465
2291.0562,0.00886972
2289.1277,0.008612138
2287.1992,0.008330932
2285.2708,0.008114517
2283.3423,0.007975756
2281.4138,0.008061417
2279.4854,0.008171978
2277.5566,0.008213138
2275.6282,0.008297596
2273.6997,0.0083387345
2271.7712,0.00839555
2269.8428,0.008402171
2267.9143,0.008373965
2265.9858,0.008341098
2264.0571,0.008301886
2262.1287,0.008254605
2260.2002,0.008188624
2258.2717,0.0081152255
2256.3433,0.008083865
2254.4148,0.008105335
2252.4863,0.008120965
2250.5579,0.008087173
2248.6292,0.008015513
2246.7007,0.007999853
2244.7722,0.00806648
2242.8438,0.008038802
2240.9153,0.007980076
2238.9868,0.00799047
2237.0583,0.008009809
2235.13,0.007979671
2233.2012,0.008002992
2231.2727,0.008036844
2229.3442,0.0080401525
2227.4158,0.00807259
2225.4873,0.008050953
2223.5588,0.008056759
2221.6304,0.008095072
2219.7017,0.00806989
2217.7732,0.00811769
2215.8447,0.008144968
2213.9163,0.008109622
2211.9878,0.00807151
2210.0593,0.00811374
2208.1309,0.008186868
2206.2024,0.008143483
2204.2737,0.00808032
2202.3452,0.008158878
2200.4167,0.008190076
2198.4883,0.008093688
2196.5598,0.008109925
2194.6313,0.008196964
2192.703,0.0082037505
2190.7744,0.008192541
2188.8457,0.008192811
2186.9172,0.008195917
2184.9888,0.008186295
2183.0603,0.008199159
2181.1318,0.008230393
2179.2034,0.008217224
2177.275,0.008172147
2175.3462,0.008182141
2173.4177,0.008246231
2171.4893,0.008289964
2169.5608,0.008268046
2167.6323,0.008223167
2165.7039,0.008223065
2163.7754,0.008281791
2161.847,0.008333532
2159.9182,0.008339545
2157.9897,0.008308641
2156.0613,0.00826781
2154.1328,0.008275948
2152.2043,0.008290842
2150.276,0.0082989475
2148.3474,0.008350184
2146.419,0.008425346
2144.4902,0.008454974
2142.5618,0.008401056
2140.6333,0.008337653
